brand_id,subsidiary_id,brand_name,main_phone_number,manager_email,manager_phone_number,sales_status_id,sales_status_note,category,core_product_summary,recent_brand_issues,last_updated_at
1,101,"구찌코리아",02-2056-5700,gucci_manager@kr.gucci.com,010-1234-5678,5,"정기 계약 진행 중","명품","이탈리아 럭셔리 패션 브랜드로 가방, 의류, 신발, 액세서리 등 다양한 제품군 보유. 특히 로고가 들어간 가죽 제품으로 유명","2024년 봄/여름 컬렉션 론칭, MZ세대 타겟 디지털 마케팅 강화 중","2025-01-05 11:15:30"
2,102,"루이비통코리아",02-3432-1854,lv_manager@kr.louisvuitton.com,010-2345-6789,5,"연간 계약 체결","명품","프랑스 럭셔리 패션 하우스로 가방, 여행용품, 액세서리 제품이 주력. 모노그램 패턴의 가죽 제품으로 유명","한정판 협업 컬렉션 출시, VIP 고객 대상 프라이빗 이벤트 진행 중","2025-01-07 16:45:20"
3,102,"샤넬코리아",02-3479-8600,chanel_manager@kr.chanel.com,010-3456-7890,5,"매체 확장 논의 중","명품","프랑스 하이엔드 패션 브랜드로 의류, 가방, 향수, 화장품까지 다양한 라인업 보유. 퀼팅 패턴 핸드백과 트위드 자켓이 시그니처","2025 크루즈 컬렉션 예약판매 시작, 향수 신제품 출시 준비 중","2025-01-09 09:30:15"
4,103,"프라다코리아",02-3218-5331,prada_manager@kr.prada.com,010-4567-8901,5,"캠페인 추가 진행 예정","명품","이탈리아 럭셔리 패션 브랜드로 미니멀하고 현대적인 디자인이 특징. 나일론 백팩과 가방 라인으로 유명","리나일론(Re-Nylon) 지속가능 라인 확장, 남성복 컬렉션 강화","2025-01-11 10:20:40"
5,103,"에르메스코리아",02-542-6622,hermes_manager@kr.hermes.com,010-5678-9012,4,"예산 협의 진행 중","명품","프랑스 최고급 럭셔리 브랜드로 가죽 제품, 실크 스카프, 시계, 향수 등이 주력 상품. 버킨백과 켈리백이 대표 상품","아시아 시장 확장 전략, 한정판 스페셜 에디션 출시 예정","2025-01-13 09:15:30"
6,104,"자라코리아",02-2109-1900,zara_manager@kr.inditex.com,010-6789-0123,5,"정기 광고주","SPA","스페인 기반 패스트 패션 브랜드로 트렌디한 디자인과 빠른 상품 회전율이 특징. 남성, 여성, 아동복 모두 취급","지속가능 패션 이니셔티브 강화, 온라인 쇼핑 경험 개선 중","2025-01-15 14:30:20"
7,104,"H&M코리아",02-3449-7500,hm_manager@kr.hm.com,010-7890-1234,3,"제안서 검토 중","SPA","스웨덴 기반 글로벌 패스트 패션 브랜드로 합리적인 가격의 트렌디한 패션 아이템 제공. 콜라보레이션 라인으로도 유명","디자이너 협업 컬렉션 출시 예정, 온라인 판매 채널 강화","2025-01-18 11:20:45"
8,105,"유니클로코리아",02-771-0960,uniqlo_manager@kr.fastretailing.com,010-8901-2345,5,"연간 집행 중","SPA","일본 기반 글로벌 패션 브랜드로 기능성 베이직 의류에 집중. 히트텍, 에어리즘과 같은 기능성 소재 제품이 대표 상품","라이프웨어(LifeWear) 캠페인 강화, 친환경 소재 도입 확대","2025-01-21 09:45:30"
9,106,"나이키코리아",02-6250-0250,nike_manager@kr.nike.com,010-9012-3456,4,"집행 확대 검토 중","스포츠","미국 글로벌 스포츠 브랜드로 운동화, 스포츠웨어, 액세서리 등을 판매. 혁신적인 스포츠 기술과 디자인으로 유명","2025 올림픽 특별 에디션 준비 중, 지속가능한 소재 사용 확대","2025-01-23 15:10:25"
10,106,"아디다스코리아",02-2106-7600,adidas_manager@kr.adidas.com,010-0123-4567,5,"디지털 매체 중심 계약","스포츠","독일 글로벌 스포츠 브랜드로 운동화, 스포츠웨어 및 액세서리 판매. 오리지널스 라인과 퍼포먼스 라인으로 구분","재활용 소재 사용 확대, Y-3 등 콜라보레이션 라인 강화","2025-01-26 10:30:55"
11,107,"무신사",02-1544-7199,musinsa_manager@musinsa.com,010-1122-3344,5,"연간 프로모션 진행","온라인 패션","국내 최대 온라인 패션 플랫폼으로 다양한 브랜드의 의류, 신발, 액세서리 판매. 자체 브랜드 '무신사 스탠다드' 운영","오프라인 매장 확장, 라이브 커머스 강화, 해외 시장 진출 준비","2025-01-06 14:25:40"
12,107,"W컨셉",02-3015-1105,wconcept_manager@wconcept.co.kr,010-2233-4455,2,"제안서 준비 중","온라인 패션","온라인 패션 플랫폼으로 디자이너 브랜드와 컨템포러리 브랜드 중심 큐레이션. 트렌디한 디자인과 스타일 제안","해외 인플루언서 마케팅 강화, 럭셔리 브랜드 라인업 확대","2025-01-28 11:15:20"
