media_id,media_name,location,specification,slot_count,media_type,operating_hours,guaranteed_exposure,duration_seconds,quantity,unit_price,image_day_url,image_night_url,image_map_url,population_target,media_characteristics,case_examples
1,"강남대로 논현사거리 국전빌딩","서울시 서초구 강남대로 543","13m x 8m",24,"옥상형 가로 사이니지","06:00~24:00",0,15,1,7000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","직장인 및 쇼핑객, 20-50대 남녀, 일 유동인구 17만명, 월 소득 500만원 이상 비율 높음","고해상도 LED 디스플레이로 주목도가 높으며, 강남대로의 중심에 위치하여 넓은 가시권 확보","현대자동차 신차 출시 캠페인(2024년 1분기), 삼성전자 갤럭시 신제품 런칭(2023년 4분기)"
2,"서울 고속버스터미널 (경부선)","서울시 서초구 신반포로 194","20m x 11m",24,"옥상형 가로 사이니지","06:00~24:00",0,15,1,7000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","전국 각지 방문객 및 지역 거주자, 10-60대 전 연령층, 일 유동인구 36만명","24시간 운영되는 교통 허브로, 전국 단위 광고 캠페인에 적합한 매체","신세계백화점 시즌 세일(2024년 1분기), 롯데관광 제주도 패키지(2023년 여름)"
3,"삼성역 루첸타워","서울시 강남구 테헤란로 510","11m x 20m",24,"벽면형 세로 사이니지","06:00~24:00",0,15,1,15000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","비즈니스 전문직, 30-50대, 직장인 중심, 지하철 승차객 일 5.5만명","90도에 가까운 각도로 다각도에서 광고 노출이 가능하며, 코엑스와 현대백화점 인근 위치","SK텔레콤 5G 서비스 론칭(2023년 4분기), 현대카드 신규 카드 출시(2024년 1분기)"
4,"잠실역 유토피아","서울시 송파구 올림픽로 240","12.5m x 15.5m",24,"벽면형 세로 사이니지","06:00~24:00",0,15,1,12000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","잠실 거주자 및 방문객, 롯데월드 방문객, 20-40대 가족 단위, 유동인구 일 20만명","롯데월드타워, 롯데월드, 롯데백화점, 샤롯데시어터 등 복합 상권 내 위치","쿠팡 블랙프라이데이 프로모션(2023년 11월), 롯데월드 시즌 이벤트(2024년 봄)"
5,"광화문 청계광장 청계주차타워","서울시 종로구 종로 10-7","12m x 18.6m",24,"벽면형 세로 사이니지","06:00~24:00",0,15,1,15000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","비즈니스 전문직 및 공무원, 30-50대, 관광객, 유동인구 일 28만명","소비력을 갖춘 3040 직장인이 밀집한 CBD권역에 위치하며, 주변 관광지와 근거리 위치","신한카드 프리미엄 카드 출시(2023년 4분기), 외국인 관광객 대상 서울시 캠페인(2024년 봄)"
6,"광화문 청계광장 청계한국빌딩","서울시 종로구 서린동 149","13m x 17.3m",24,"벽면형 세로 사이니지","06:00~24:00",0,15,1,15000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","중앙 정부 부처 공무원, 주변 기업 직장인, 30-50대, 유동인구 일 28만명","청계천 인근에 위치하여 관광객 및 직장인에게 높은 노출도 확보","KB국민은행 모바일뱅킹 서비스(2023년 하반기), 현대백화점 시즌 세일(2024년 초)"
7,"광화문 적선 현대빌딩","서울시 종로구 사직로 130","19m x 10m",24,"옥상형 가로 사이니지","06:00~24:00",0,15,1,7000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","정부 부처 공무원, 외국인 관광객, 내국인 관광객, 직장인구 19만명","경복궁, 안에서도 광고를 볼 수 있는 특별한 위치, 관광 명소와 직장 밀집 지역 모두 커버","문화체육관광부 국내 관광 캠페인(2023년 가을), 삼성화재 보험 상품(2024년 1분기)"
8,"서울역 부양빌딩","서울시 용산구 동자동 43-74","10.8m x 19m",24,"벽면형 가로 사이니지","06:00~24:00",0,15,1,15000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","출퇴근 인구, KTX 이용객, 관광객, 10-60대 전 연령층, 교통 중심지","한강대로, 통일로, 세종대로, 퇴계로가 만나는 교통 중심지에 위치하여 높은 가시성 확보","한국철도공사 KTX 프로모션(2023년 겨울), 남산타워 관광 홍보(2024년 봄)"
9,"시청앞 재능교육빌딩","서울시 중구 을지로1가 192-11","13.4m x 8.4m",24,"옥상형 가로 사이니지","06:00~24:00",0,15,1,5000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","공무원, CBD 직장인, 쇼핑객, 30-50대, 유동인구 17만명","높은 유동인구 수와 고소득 직장 인구가 밀집한 지역으로 구매력 있는 소비층 대상","LG전자 신규 가전제품 출시(2023년 겨울), 금융권 연간 캠페인(2024년 상반기)"
10,"강서구청사거리 귀뚜라미 사옥","서울시 강서구 공항대로 396","16m x 9m",24,"가로 벽면형 사이니지","06:00~24:00",0,15,1,7000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","강서구 주민, 인근 아파트 거주자, 30-50대 가족 단위, 주거인구 19만명","전광판이 교차로 라인을 향해 위치해 주시 방해요소가 없으며, 외벽이 높은 곳에 설치","귀뚜라미보일러 시즌 캠페인(2023년 겨울), 강서구 지역 아파트 분양(2023년 가을)"
